English	Spanish	Spanish verb
the sick man felt up to the party	el enfermo se sintió con ánimos para la fiesta, el enfermo se sintió con fuerzas para la fiesta, el enfermo tuvo ganas de fiesta	sentir se con ánimos para, sentir se con fuerzas para, tener ganas de
the soldiers fought back	los soldados se resistieron, los soldados contraatacaron, los soldados se defendieron	resistir se, contraatacar, defendir se
the soldier fought off kamikaze attacks	el soldado luchó contra ataques kamikazes, el soldado combatió ataques kamikazes, el soldado se defendió de ataques kamikazes, el soldado repelió ataques kamikazes, el soldado ahuyentó ataques kamikazes	luchar contra, combatir, defender se de, repeler, ahuyentar
the man didn´t figure on the additional problems	el hombre no contó con los problemas adicionales 	contar con
the man didn’t figure on going to the party	el hombre no esperaba asistir a la fiesta	esperar
the teacher figured out the problem	el profesor resolvió el problema, el profesor solucionó el problema	resolver, solucionar
the police figured out the secret code	la policía descifró el código secreto, la policía averiguó el código secreto, la policía determinó el código secreto, la policía descubrió el código secreto	descifrar, averiguar, determinar, descubrir
the woman filled in for her colleague	la mujer sustituyó a su compañero, la mujer reemplazó a su compañero	sustituir a, reemplazar a
the student filled in a questionnaire	el estudiante rellenó un cuestionario, el estudiante completó un cuestionario	rellenar, completar
the boy filled in the teacher’s place	el chico suplantó el lugar del profesor	suplantar
the man filled the woman in 	el hombre puso al corriente a la mujer	poner al corriente a
the child filled out last year	el niño engordó el año pasado	engordar
a woman filled out the ballot	una mujer rellenó la papeleta	rellenar
the man filled up his glass	el hombre llenó su copa	llenar   
the prison was filled up with political prisoners	la cárcel se llenó de presos políticos, la cárcel se llenó con presos políticos, la cárcel estaba lleno de presos políticos	llenar se de, llenar se con, estar lleno de 
the man filled up his glass with vodka	el hombre llenó su copa de vodka, el hombre llenó su copa con vodka	llenar de, llenar con
the man found out their weakness	el hombre descubrió su debilidad, el hombre se dio cuenta de su debilidad	descubrir, dar se cuenta de
the teacher found something out	el profesor averiguó algo, el profesor se enteró de algo, el profesor descubrió algo	averiguar, enterar se de, descubrir
the player finished off the season	el jugador terminó la temporada, el jugador acabó la temporada, el jugador completó la temporada	terminar, acabar, completar
the killer finished the man off	el asesino eliminó al hombre, el asesino liquidó al hombre, el asesino remató al hombre	eliminar a, liquidar a, rematar a
the student finished up the project	el estudiante terminó el proyecto, el estudiante acabó el proyecto	terminar, acabar  
the project finished up	el proyecto se terminó, el proyecto se acabó	terminar se, acabar se
the girl finished with her boyfriend	la chica cortó con su novio, la chica acabó con su novio, la chica terminó con su novio, 	cortar con, acabar con, terminar con
my cousin fired up the car   	mi primo encendió el coche, mi primo arrancó el coche, mi primo puso el coche en marcha	encender, arrancar, poner en marcha
the coach fired up the team	el entrenador animó al equipo, el entrenador avivó al equipo, el entrenador enfervorizó al equipo	animar a, avivar a, enfervorizar a
manufacturing fired up the country´s economy	la producción avivó la economía del país, la producción hizo despegar la economía del país, la producción animó la economía del país	avivar, hacer despegar, enfervorizar se, animar
the terrorist fired upon the police officer	el terrorista disparó contra el policía, el terrorista disparó al policía	disparar contra, disparar a
the new student fit in well	el estudiante nuevo se adaptó bien, el estudiante nuevo encajó bien, el estudiante nuevo congenió bien	adaptar se, encajar, congeniar
the hotel fit in one more guest	el hotel acomodó a un huésped más	acomodar a
the new boy fits in well with the other students	el chico nuevo encajó bien con los otros alumnos	encajar con
the clues of the crime fit together perfectly	las pistas del crimen encajaron perfectamente, las pistas del crimen se adaptaron perfectamente	encajar, adaptar se
the family fixed up the old house	la familia arregló la casa antigua, la familia restauró la casa antigua, la familia reparó la casa antigua	arreglar, restaurar, reparar
the man fixed up his friends	el hombre juntó a sus amigos, el hombre emparejó a sus amigos	juntar a, emparejar a
her enthusiasm will fizzle out	su entusiasmo se apagará, su entusiasmo decaerá, su entusiasmo caerá, su entusiasmo quedará en nada, su entusiasmo se morirá	apagar se, decaer, caer, quedar en nada, morir se
the dispute flared up	la disputa se reavivó, la disputa se encendió, la disputa se agudizó, la disputa estalló	reavivar se, encender se, agudizar se, estallar
the patient’s arthritis flared up	la artritis del paciente brotó,  la artritis del paciente se exacerbó,  la artritis del paciente se inflamó	brotar, exacerbar se, inflamar se
the man´s temper flared up	el mal carácter del hombre estalló, el mal carácter del hombre saltó	estallar, saltar
the woman flicked through the magazine	la mujer hojeó la revista	hojear
the refugees flooded in to the country	los refugiados inundaron el país, los refugiados invadieron el país, los refugiados llegaron masivamente al país, los refugiados afluyeron al país	inundar, invadir, llegar masivamente, afluir 
complaints flooded in	las quejas llovieron, las quejas se agolparon, las quejas afloraron	llover, agolpar se, aflorar
the boy fobbed off his mother	el chico engatusó a su madre	engatusar a
the girl focused on her studies	la chica se dedicó a sus estudios, la chica se centró en sus estudios	dedicar se a, centrar se en
the boy never follows through	el chico nunca acaba, el chico nunca termina, el chico nunca cumple	acabar, terminar, cumplir
the woman followed through with her plans	la mujer terminó con sus planes, la mujer acabó con sus planes	terminar con, acabar con
the doctor followed up the test results	el medico investigó los resultados de la prueba, el medico estudió los resultados de la prueba	investigar, estudiar
the police officer followed up the lead	el policía siguió la pista 	seguir
the student fooled around	el estudiante hizo el tonto	hacer el tonto
the couple fooled around	la pareja echó un polvo	echar un polvo
the politician forged ahead	el político siguió adelante	seguir adelante
the council forged ahead with their plans	el consejo siguió adelante con sus planes	seguir adelante con
the robbery freaked out the neighbourhood	el atraco asustó al barrio, el atraco dio miedo al barrio	asustar a, dar miedo a
the boy freaked out	el chico flipó	flipar
the spider freaked the man out	la araña dio miedo al hombre, la araña asustó al hombre	dar miedo a, asustar a
the man freaked out about the attack	el hombre se calentó por el ataque	calentar se por
the new arrangement of the room frees up some space	la nueva disposición de la habitación libera algún espacio, la nueva disposición de la habitación deja libre algún espacio	liberar, dejar libre
the new time table frees up the worker	el nuevo horario libera al empleado	liberar a
the man freshened up	el hombre se refrescó, el hombre se lavó	refrescar se, lavar se
the woman freshened up the room	la mujer refrescó la habitación, la mujer lavó la habitación, la mujer aireó la habitación, la mujer ventiló la habitación, la mujer oreó la habitación	refrescar, lavar, airear, ventilar, orear
the loud noise frightened away the dog	el ruido alto espantó al perro	espantar a
the black death frightened off many people	la peste negra asustó a muchos ciudadanos, la peste negra espantó a muchos ciudadanos, la peste negra ahuyentó a muchos ciudadanos	asustar a, espantar a, ahuyentar a
people frown upon laziness	la gente desaprueba la pereza	desaprobar
the attic functions as an office	el ático hace las veces de despacho	hacer las veces de
the mother fussed over her son	la madre agobiaba a su hijo	agobiar a
the boy fussed over silly things	el chico se preocupaba por tonterías, el chico  se alborotaba por tonterías, el chico se impacientaba por tonterías	preocupar se por, alborotar se por, impacientar se por
the students gathered around the teacher	los estudiantes se agruparon alrededor del profesor	agrupar se alrededor de
the soldier got about two kilometres	el soldado se desplazó dos kilómetros, el soldado se movió dos kilómetros, el soldado viajó dos kilómetros	desplazar se, mover se, viajar
the director got across his point of view	el director transmitió su punto de vista, el director hizo entender su punto de vista, el director expresó su punto de vista	transmitir, hacer entender, expresar
the best employees always get ahead	los mejores empleados siempre progresan, los mejores empleados siempre salen adelante	progresar, salir adelante
the boy got ahead of his friend	el chico adelantó a su amigo, el chico ganó a su amigo	adelantar a, ganar a
the girls get along with her sister	la chica se lleva bien con su hermana	llevar se bien con
the children get along	los niños se llevan bien	llevar se bien  
the plans got along with everyone´s help	los planes progresaron con la ayuda de todos, los planes prosperaron con la ayuda de todos 	progresar con, prosperar con
the children got along without the teacher’s help	los niños se apañaron sin la ayuda del profesor	apañar se sin
the student finally got around to his homework	el estudiante finalmente encontró tiempo para sus deberes	encontrar tiempo para
the tourists got around without help	los turistas se movieron sin ayuda, los turistas se desplazaron sin ayuda, los turistas viajaron sin ayuda	mover se, desplazar se, viajar
the students got around the teacher’s rules	los estudiantes evitaron las reglas del profesor, los estudiantes sortearon las reglas del profesor	evitar, sortear
the rumour got around quickly	el rumor corrió rápido, el rumor se difundió rápido	correr, difundir se
the man got at his point quickly	el hombre insinuó su tema rápido, el hombre quiso decir su tema rápido	insinuar, querer decir
the bully got at the boy	el acosador se metió con el chico	meter se con
the politician got at the judge	el político se hizo con el juez, el político sobornó al juez	hacer se con, sobornar a
the criminal got away with the crime	el criminal salió impune del delito, el criminal se zafó del delito, el criminal se libró del delito	salir impune de, zafar se de, librar se de
the prisoner got away	el preso se escapó, el preso se fugó, el preso se escabulló, el preso huyó	escapar se, fugar se, escabullir se, huir
the woman got back at eight o’clock	la mujer volvió a las ocho, la mujer regresó a las ocho	volver, regresar
the woman got back her book on Saturday	la meujer recuperó su libro el sabado	recuperar
the child got back at his friends	el niño se vengó de sus amigos	vengar se de
the man got back into yoga again	el hombre recuperó el interés por el yoga otra vez	recuperar el interés por
the politician got behind the initiative	el político respaldó la iniciativa, el político apoyó la iniciativa 	respaldar, apoyar
the man got by last month	el hombre se las arregló el mes pasado, el hombre salió adelante el mes pasado	arreglar se las, salir adelante
the woman gets by in French	la mujer se apañó en francés	apañar se
the student got down to his work	el estudiante se puso a trabajar	poner se a
the woman got down 	la mujer bajó, la mujer se bajó, la mujer se apeó 	bajar, bajar se, apear se
the exam results got the boy down	las notas del examen desanimaron al chico, las notas del examen deprimieron al chico	desanimar a, deprimir a
the woman got in	la mujer entró, la mujer se metió, la mujer subió	entrar, meter se, subir
the man got in the car	el hombre entró en el coche, el hombre subió al coche, el hombre se metió en el coche	entrar en, subir a, meter se en
the children got into the car	los niños se metieron en el coche, los niños subieron al coche	meter se en, subir a
the boy got into punk music	el chico se enganchó a la música punk, el chico se interesó por la música punk	enganchar se a, interesar se por
the criminal got off with just a warning	el criminal zafó y solo le dieron un aviso 	zafar
the children got off with the sweets	los niños afanaron los caramelos, los niños birlaron los caramelos, 	afanar, birlar
the passenger got off	el pasajero se bajó, el pasajero se apeó	bajar se, apear se
the man got off quickly	el hombre se corrió rápidamente	correr se
the employee got on to his boss	el empleado consultó con su jefe, el empleado consultó a su jefe	consultar con, consultar a
the student got on to his next project	el estudiante prosiguió con el siguiente trabajo, el estudiante siguió con el siguiente trabajo	proseguir con, seguir con
the passenger got on the train	el pasajero se montó en el tren, el pasajero subió al tren, el pasajero se subió al tren	montar se en, subir a, subir se a
the man got on in life	el hombre triunfó en la vida, el hombre fue alguien en la vida	triunfar, ser alguien
the boys get on well together	los niños se llevan bien juntos	llevar se bien  
the prisoner got out of jail	el preso se libró de la cárcel, el preso escapó de la cárcel, el preso huyó de la cárcel, el preso salió de la cárcel	librar se de, escapar de, huir de, salir de
the students got out of homework	los estudiantes eludieron los deberes, los estudiantes se zafaron de los deberes, los estudiantes evadieron los deberes	eludir, zafar se de, evadir
we got out before lunch	escapamos antes de comer, salimos antes de comer, huimos antes de comer	escapar, salir, huir
the man got over the flu quickly	el hombre se recuperó de la gripe pronto, el hombre mejoró de la gripe pronto, el hombre superó la gripe pronto	recuperar se, mejorar, superar
the man got over his ex girlfriend quickly	el hombre se olvidó de su exnovia rápidamente	olvidar se de
the girl got over the bad news	la chica aceptó las malas noticias, la chica creyó las malas noticias	aceptar, creer
the student got round to his homework 	el estudiante encontró tiempo para sus deberes	encontrar tiempo para
the child got round his mother	el niño convenció a su mamá, el niño persuadió a su mamá, el niño ganó a su mamá	convencer a, persuadir a, ganar a
the country got through the civil war	el país superó la guerra civil, el país sobrevivió a la guerra civil	superar, sobrevivir a
the man got through to his wife	el hombre localizó a su mujer	localizar a
the family got together	la familia se reunió, la familia se juntó, la familia se vio	reunir se, juntar se, ver se
the girls got her things together	las chicas juntaron sus cosas, la chicas recogieron sus cosas	juntar, recoger
the employees got together	los empleados se reunieron, los empleados se juntaron	reunir se, juntar se 
the workers got up early	los trabajadores se levantaron temprano	levantar se
the mother got the children up	la madre despertó a los niños	despertar a
the boy finally got the courage up 	el chico finalmente reunió el valor, el chico finalmente juntó el valor	reunir, juntar
the boy gave away all his money	el chico donó todo su dinero	donar
the child gave away his hiding place	el niño reveló su escondite, el niño confesó su escondite, el niño descubrió su escondite, el niño desveló su escondite	revelar, confesar, descubrir, desvelar
the shop gave away free magazines	la tienda entregó revistas gratis, la tienda distribuyó revistas gratis, la tienda regaló revistas gratis, la tienda repartió revistas gratis	entregar, distribuir, regalar, repartir
the millionaire gives a lot back to his community	el millonario devuelve mucho a su barrio	devolver  
the French army gave in	el ejercito francés se rindió	rendir se
the woman gave in to sleep	la mujer se rindió al sueño, la mujer sucumbió al sueño	rendir se a, sucumbir a
the government gave in	el gobierno cedió 	ceder
the patient gave in to more tests	el paciente se sometió a más pruebas	someter se a
the bonfire gave off a lot of heat	la hoguera emitió mucho calor, la hoguera despidió mucho calor, la hoguera desprendió mucho calor	emitir, despedir, desprender
the house gives onto the beach	la casa da a la playa	dar a
the sun gives out heat and light	el sol da calor y luz, el sol emite calor y luz	dar, emitir
the teacher gave out the books	el profesor repartió los libros, el profesor distribuyó los libros	repartir, distribuir
the man’s heart gave out	el corazón del hombre falló	fallar
the man’s motivation gave out	la motivación del hombre falló, la motivación del hombre se acabó, la motivación del hombre se agotó	fallar, acabar se, agotar se
give over fighting	deja de discutir	dejar de
the man gave up on his sister	el hombre abandonó a su hermana	abandonar  a
the man gave up on diets	el hombre desistió de los regímenes 	desistir de
the man gave up meat	el hombre abandonó la carne, el hombre dejó la carne, el hombre renunció a la carne	abandonar, dejar, renunciar a
the politician gave up his seat	el político cedió su puesto	ceder
the tired boy gave up	el niño cansado desistió 	desistir
the girl goes about quietly everyday	la chica se maneja tranquilamente todos los días, la chica se conduce tranquilamente todos los días, la chica se comporta tranquilamente todos los días	comportar se, conducir se, manejar se
the man goes about from town to town	el hombre vaga de un pueblo a otro	vagar
the child went about his homework	el niño se puso con sus deberes, el niño llevó a cabo sus deberes, el niño hizo sus deberes, el niño se dedicó a sus deberes	poner se con, llevar a cabo, hacer, dedicar se a
the police went after the criminal	la policía fue a por el criminal, la policía persiguió al criminal, la policía siguió al criminal, la policía fue tras del criminal	ir a por, perseguir a, seguir a, ir tras de
the politician went against his party	el político se opuso a su partido	oponer se a
the country went ahead with elections	el país siguió con las elecciones, el país siguió adelante con las elecciones 	seguir con, seguir adelante con
the boy went ahead	el chico avanzó 	avanzar  
the man went along with the decision	el hombre aceptó la decisión, el hombre consintió con la decisión	aceptar, consentir con
the employee went along with the agreement	el empleado estuvo de acuerdo con el trato	estar se acuerdo con
the plans went along well	los planes fueron bien	ir  
the girl went along to the party	la chica pasó por la fiesta	pasar por
the wheels go around quickly	las ruedas giran rápidamente, las ruedas ruedan rápidamente	girar, rodar
the train goes around the lake	el tren rodea el lago	rodear
enough food went around the party	alcanzó la comida para la fiesta	alcanzar
the flu went around the office	la gripe circuló por el despacho	circular por
a rumour went around the school	un rumor corrió por el colegio	correr por
the man went away yeasterday	el hombre se marchó ayer, el hombre se fue ayer	marchar se, ir se
the girl went back on her promise	la chica rompió su promesa, la chica no cumplió su promesa	romper, no cumplir
the man went back 	el hombre regresó, el hombre volvió	regresar, volver
the clocks went back yesterday	retrasaron los relojes ayer	retrasar
my father’s memories go back a long way	Los recuerdos de mi padre se remontan mucho tiempo atrás	remontar se
the boy went back to the party	el chico volvió a la fiesta, el chico regresó a la fiesta	volver a, regresar a
the song goes back to the sixties	la canción se remontaba a los años sesenta	remontar se a
the traveller went beyond the border	el viajero fue más allá de la frontera	ir más allá de
time goes by quickly	el tiempo se va rápido, el tiempo pasa rápido	ir se, pasar
the hiker went by the map	el senderista siguió el mapa	seguir
the traveller went by plane	el viajero fue en avión 	ir en
the soldiers passed by the village	los soldados pasaron por el pueblo	pasar por
the child went down with the flu	el niño pilló la gripe, el niño cogió la gripe	pillar, coger
the child went down with the flu   borrar	el niño cogió la gripe	coger
the woman went down the mountain	la mujer bajó la montaña, la mujer descendió la montaña	bajar, descender
commodity prices went down 	los precios de las materias primas disminuyeron	disminuir  
the woman went for the black dress	la mujer eligió el vestido negro, la mujer se decantó por el vestido negro, la mujer se decidió por el vestido negro	elegir, decantar se por, decidir se por
the children went for a swim	los niños fueron a nadar	ir a
the man went for a book	el hombre fue a por un libro	ir a por
the house went for one million euros0	la casa se vendió por un millón de euros, la casa se vendió a un millón de euros	vender se a, vender se por
the woman went in	la mujer entró  	entrar  
the man goes into the police next week	el hombre se apunta a la policía la semana que viene, el hombre quiere entrar en la policía la semana que viene	apuntar se a, querer entrar
the teacher went into the school	el profesor entró en el colegio 	entrar en  
the woman went into engineering	la mujer se metió en ingeniería 	meter se en  
the man went off with his wife	 el hombre se marchó con su mujer, el hombre salió con su mujer, el hombre se fue con su mujer	marchar se con, salir con, ir se con 
the alarm went off early	la alarma sonó temprano	sonar
fresh food goes off quickly	los alimentos frescos se pasan rápidamente, los alimentos frescos se estropean rápidamente	pasar se, estropear se
the party went off with a bang	la fiesta triunfó	triunfar  
the girl went off alone	la chica se fue sola, la chica se marchó sola	ir se, marchar se
the boy went off his girlfriend	el chico se desenamoró de su novia	desenamorar se de
the depressed man went on	el hombre deprimido siguió, el hombre deprimido perduró, el hombre deprimido continuó, el hombre deprimido aguantó	seguir, perdurar, continuar, aguantar
the teenagers went out last night	los adolescentes salieron anoche	salir  
the electricity went out	la electricidad se apagó	apagar se  
the football player went over to the new team	el futbolista se pasó al nuevo equipo, el futbolista cambió al nuevo equipo, el futbolista pasó al nuevo equipo	pasar se a, cambiar a, pasar a
the teacher went over her notes	la profesora repasó sus apuntes, la profesora revisó sus apuntes	repasar, revisar
the government went through with the new law	el gobierno llevó a cabo la nueva ley, el gobierno siguió adelante con la nueva ley	llevar a cabo, seguir adelante con
the traveller went through airport security	el viajero cruzó la seguridad aeroportuaria, el viajero pasó por la seguridad aeroportuaria 	cruzar, pasar por
the child went through terrible things	el niño sufrió mucho, el niño soportó mucho	sufrir, soportar
the traffic went through the new tunnel	el tráfico atravesó el túnel nuevo	atravesar 
the human resources manager went through all the CVs	el gerente de recursos humanos revisó todos los currículum, el gerente de recursos humanos repasó todos los currículum	revisar, repasar
the animals went through all the food in a week	los animales agotaron la comida en una semana, los animales acabaron con la comida en una semana, los animales se quedaron sin comida en una semana, 	agotar, acabar con, quedar se sin
that shirt and that tie go together	esa camisa y esa corbata hacen juego, esa camisa y esa corbata combinan bien	hacer juego, combinar bien
the wardrobe, bed and bedside table go together	el armario, la cama y la mesilla hacen juego	hacer juego
the ship went under	el barco se hundió	hundir se
the business went under	la empresa fracasó	fracasar 
the rate of inflation went up last year	la tasa de inflación aumentó el año pasado, la tasa de inflación subió el año pasado	aumentar, subir
the building went up quickly	el edificio se erigió rápidamente, el edificio se construyó rápidamente, el edificio se levantó rápidamente	erigir se, construir se, levantar se
the lift went up two floors	el ascensor ascendió dos plantas	ascender
the burning building went up quickly	el edificio en llamas se incendió rápidamente, el edificio en llamas explotó rápidamente, el edificio en llamas estalló rápidamente	encender se, explotar, estallar
the child went with his parents	el niño acompañó a sus padres, el niño fue con sus padres, el niño salió con sus padres	acompañar a, ir con, salir con
the man’s socks go with his shoes	los calcetines del hombre combinan con sus zapatos	combinar con
the man went without alcohol last month	el hombre pasó sin alcohol el mes pasado, el hombre prescindió del alcohol el mes pasado	pasar sin, prescindir de
the couple grew apart	la pareja se alejó, la pareja se distanció, la pareja se separó	alegar se, distanciar se, separar se
teenagers generally grow away from their parents	los adolescentes se distancian de sus padres generalmente	distanciar se de
the tumour grew back quickly	el tumor volvió a crecer, el tumor volvió a salir	volver a salir, volver a crecer
caterpillars grow into butterflies	las orugas se convierten en mariposas, las orugas se transforman en mariposas	convertir se en, transformar se en
the boy grew into a handsome man	el chico se convirtió en un hombre guapo	convertir se en
the child grew into his uniform	el niño pudo usar el uniforme	poder usar
the film grew out of the book	la película nació del libro, la película surgió del libro	nacer de, surgir de
the boy grew out of cartoons	el niño perdió el interés por los dibujos animados	perder el interés por
the woman grew out of her small hometown	la mujer se fue de su pueblo pequeño natal	ir se de
the child grew up	el niño creció, el niño se hizo mayor, el niño maduró	crecer, hacer se mayor, madurar
the company hammered out all the problems	la empresa lidió con todos los problemas	lidiar con
the teacher handed round the books	la profesora repartió los libros, la profesora pasó los libros, la profesora entregó los libros	repartir, pasar, entregar
the man handed back the watch	el hombre devolvió el reloj	devolver  
the man handed down his valuable collection	el hombre legó su colección valiosa	legar
the student handed in the assignment	el estudiante entregó el trabajo, el estudiante presentó el trabajo	entregar, presentar
the man handed himself in 	el hombre se rindió, el hombre se entregó	rendir se, entregar se
the employee handed in his notice	el empleado notificó su dimisión 	notificar 
the children hand on their old toys to an orphanage	los niños pasan sus juguetes viejos a un orfanato	pasar
the teacher handed out the exams	el profesor repartió los exámenes, el profesor distribuyó los exámenes	repartir, distribuir
the criminal handed over the weapon	el criminal dio el arma, el criminal entregó el arma, el criminal cedió el arma	dar, entregar, ceder
the man hung around 	el hombre esperó	esperar
the teenagers hung around the park	los adolescentes pasearon por el parque, los adolescentes merodearon por el parque, los adolescentes estuvieron dando vueltas por el parque	pasear por, merodear por, estar dando vueltas
the shy child hung back	el niño tímido se quedó atrás	quedar se atrás
the distracted child hung back	el niño distraído vaciló	vacilar
the diamond earrings hung down	los pendientes de diamantes colgaban	colgar
the flowers hung down in autumn	las flores se marchitaron en otoño 	marchitar se
the student hung in all year	el estudiante perseveró todo el año, el estudiante no se rindió en todo el año	perseverar, no rendir se
the audience hung on every word	el público puso atención a cada palabra	poner atención a
the dog’s tongue hung out	la lengua del perro colgaba	colgar
the girl hung out with her friends	la chica se juntó con sus amigas, la chica salió con sus amigos	juntar se con, salir
the clouds hung over the sea	las nubes flotaban sobre el mar, los nubes se adueñaron del mar	flotar sobre, adueñar se de
the woman hung up the telephone	la mujer colgó el teléfono	colgar
delays hung up the project deadline	los retrasos pararon la fecha límite del proyecto, los retrasos detuvieron la fecha límite del proyecto	parar, detener
the couple had it out yesterday	la pareja trató un asunto ayer	tratar un asunto
the traveller headed for Europe	el viajero se dirigió a Europa, el viajero tiró para Europa, el viajero apuntó hacia Europa	dirigir se a, tirar para, apuntar hacia
the family headed off	la familia salió, la familia se fue	salir, ir se
the police headed off the traffic	la policía desvió el tráfico 	desviar
the rescue party headed off	el equipo de rescate partió, el equipo de rescate se marchó, el equipo de rescate se fue	partir, marchar se, ir se
the manager heads up the new project	el director lidera el nuevo proyecto	liderar
the student heard about the new school principal	el estudiante se enteró del nuevo director del colegio	enterar se de
the woman heard from her brother yesterday	la mujer tuvo noticias de su hermano ayer	tener noticias de
the president heard of the tragic news	el presidente se enteró de la mala noticia, el presidente supo de la mala noticia 	enterar se de, saber de
the woman heard her friend out	la mujer escuchó a su amiga	escuchar a
the cook heated up the sauce	el cocinero calentó la salsa	calentar  
the discussion heated up quickly	el debate se calentó rápidamente, el debate se animó rápidamente, el debate se caldeó rápidamente 	calentar se, animar se, caldear se
the man helped his aunt along	el hombre ayudó a su tía	ayudar a
the man helped his elderly parents out	el hombre ayudó a sus padres mayores	ayudar a
the soldiers hemmed in the civilians	los soldados acorralaron a los civiles, los soldados asediaron a los civiles, los soldados cercaron a los civiles	acorralar a, asediar a, cercar a
the woman hid away the jewels	la mujer escondió las joyas	esconder
the criminal hid away	el criminal se escondió	esconder se
the child hit his classmate back	el niño devolvió el golpe a su compañero de clase	devolver el golpe a
the man hit on the beautiful woman	el hombre sedujo a la mujer guapa	seducir a
the criminals hid out in the forest	los criminales se ocultaron en el bosque, los criminales se escondieron en el bosque	ocular se, esconder se
the man holds everything against his friend	el hombre achaca todo a su amigo, el hombre reprocha todo a su amigo, el hombre recrimina todo a su amigo	achacar a, reprochar a, recriminar a
the referee held the boxers back	el árbitro contuvo a los boxeadores	contener a
the employee held back information	el empleado retuvo información	retener
the spy held eveything back	el espía se calló todo	callar se
the child held back tears	el niño reprimió las lágrimas, el niño se reprimió las lágrimas, el niño contuvo las lágrimas	reprimir, reprimir se, contener
the police officer held the criminal down	el policía sujetó al criminal	sujetar a
the patient held down food yesterday	el paciente retuvo la comida ayer	retener
the woman holds down two jobs	la mujer mantiene dos empleos, la mujer tiene dos empleos	mantener, tener
the politician held forth	el político no paró de hablar	no parar de hablar
the police held off the attackers	la policía frenó a los agresores	frenar a
the child held on to the railing	el niño se agarró a la barandilla,  el niño se aferró a la barandilla,  el niño se agarró de la barandilla,  el niño se asió a la barandilla,  el niño se asió de la barandilla	agarrar se a, aferrar se a, agarrar se de, asir se a, asir se de
hold on a minute please	espera un minuto	esperar
the man held onto his pride	el hombre conservó su orgullo, el hombre mantuvo su orgullo	conservar, mantener
the soldiers held out 	los soldados se resistieron	resistir se
the food held out	la comida duró, la comida aguantó	durar, aguantar
the man held out his hand	el hombre tendió su mano, el hombre extendió su mano	tender, extender
the government held out against the rebels	el gobierno resistió ante los rebeldes, el gobierno se resistió ante los rebeldes, el gobierno se opuso a los rebeldes	resistir ante, resistir se ante, oponer se a
the woman held out for a miracle	la mujer esperó por un milagro	esperar por
the organizers held over the film festival	los organizadores aplazaron el festival de cine, los organizadores pospusieron el festival de cine	aplazar, posponer
the beam holds up the ceiling	la viga sostiene el techo, la viga soporta el techo, la viga sujeta el techo, la viga sustenta el techo	sostener, soportar, sujetar, sustentar
the computer system holds up payments	el sistema informático demora los pagos, el sistema informático retrasa los pagos	demorar, retrasar
the stressed student held up well	el estudiante estresado aguantó bien, el estudiante estresado resistió bien	aguantar, resistir
the decision holds with current legislation	la decisión concuerda con la ley vigente, la decisión cumple con la ley vigente	concordar con, cumplir con 
the cable hooks up easily	el cable engancha fácilmente, el cable conecta fácilmente, el cable se engancha fácilmente, el cable se conecta fácilmente	enganchar se, conectar se, enganchar, conectar
the couple hooked up  	la pareja se enrollo	enrollar se
the couple hooked up last night  borrar	la pareja folló anoche	follar, enrollar se
the police hunted down the gang	la policía cazó a la banda, la policía persiguió a la banda	cazar a, perseguir a
the children hurried up	los niños se dieron prisa, los niños se apresuraron	dar se prisa, apresurar se
the teacher hurried the children up 	la profesora apuró a los niños	apurar a  
the guest imposed on his hosts	el invitado molestó a sus anfitriones 	molestar a
the extra work imposed on the employee	el trabajo extra molestó al empleado, el trabajo extra incomodó al empleado, el trabajo extra importunó al empleado	molestar a, incomodar a, importunar a
the woman improved on her Spanish	la mujer mejoró su español	mejorar
the man indulged in a massage	el hombre se permitió un masaje	permitir se
the employee insisted on a promotion	el empleado insistió en un ascenso, el empleado demandó un ascenso	insistir en, demandar
the man interfered with the woman	el hombre manoseó a la mujer, el hombre tocó a la mujer	manosear a, tocar a
the school invested in new technology	la escuela invirtió en nuevas tecnologías, la escuela apostó fuerte por nuevas tecnologías 	invertir en, apostar fuerte por
the man ironed out the suit	el hombre planchó el traje	planchar
the boss ironed out the problems	el jefe resolvió los problemas, el jefe solucionó los problemas	resolver, solucionar
the man is itching for a new opportunity	el hombre se muere por una nueva oportunidad	morir se por
the man jacked in his job	el hombre se piró del trabajo	pirar se
the man jacked off	el hombre se masturbó	masturbar se
the shops jacked up the price of water	las tiendas subieron el precio del agua, las tiendas inflaron el precio del agua	subir, inflar
the paper jammed up the photocopier	el papel obstruyó la fotocopiadora, el papel atascó la fotocopiadora, el papel bloqueó la fotocopiadora	obstruir, atascar, bloquear
the homeowners jazzed up their house	los dueños de la casa realzaron la casa	realzar
the man jerked his girlfriend around	el hombre mareó la perdiz con su novia	marear la perdiz con
the children joined in	los niños se unieron, los niños participaron, los niños se apuntaron 	unir se, participar, apuntar se
the children joined up the jigsaw	los niños juntaron el puzzle, los niños unieron el puzzle, los niños conectaron el puzzle	juntar, unir, conectar
five new members joined up to the gym	cinco nuevos miembros se apuntaron al gimnasio, cinco nuevos miembros se inscribieron en el gimnasio	apuntar se a, inscribir se en
the man joined with the team	el hombre acompañó al equipo	acompañar a
the child joined in with the games	el niño participó en los juegos, el niño se apuntó a los juegos	participar en, apuntar se a
the woman jotted down the phone number	la mujer anotó el número de teléfono, la mujer apuntó el número de teléfono	anotar, apuntar
